num_txn,TPS,cluster_size
5000,105.9,3-cluster
10000,34.4,3-cluster
15000,22.0,3-cluster
20000,18.3,3-cluster
5000,111.5,4-circle
10000,70.5,4-circle
15000,41.3,4-circle
20000,26.1,4-circle
5000,97.0,4-clique
10000,70.4,4-clique
15000,40.7,4-clique
20000,29.1,4-clique
5000,154.1,7-circle
10000,119.0,7-circle
15000,96.9,7-circle
20000,67.4,7-circle
5000,153.8,7-bridge
10000,119.0,7-bridge
15000,84.9,7-bridge
20000,61.5,7-bridge
5000,154.8,7-star
10000,120.5,7-star
15000,97.1,7-star
20000,51.4,7-star
5000,126.7,7-clique
10000,102.2,7-clique
15000,87.2,7-clique
20000,53.9,7-clique
