num_txn,TPS,cluster_size
5000,24.5,3-cluster
10000,22.0,3-cluster
15000,18.3,3-cluster
20000,18.0,3-cluster
5000,24.1,4-circle
10000,22.0,4-circle
15000,16.7,4-circle
20000,17.3,4-circle
5000,23.3,4-clique
10000,20.9,4-clique
15000,18.6,4-clique
20000,16.6,4-clique
5000,19.8,7-circle
10000,17.8,7-circle
15000,18.8,7-circle
20000,15.5,7-circle
5000,22.2,7-bridge
10000,19.6,7-bridge
15000,18.2,7-bridge
20000,16.6,7-bridge
5000,22.6,7-star
10000,20.8,7-star
15000,18.4,7-star
20000,16.0,7-star
5000,17.8,7-clique
10000,19.9,7-clique
15000,17.9,7-clique
20000,14.4,7-clique
